timestep,r_collision,z_collision,vr_collision,vz_collision
7963,3.4917920056656088e-12,4.79286477220435e-06,75.74161726670857,-2929.1007599448512
7964,3.5077640610204117e-12,4.79286415369312e-06,75.74112269427545,-2933.0436169436034
7965,3.523681766077201e-12,4.792863536448344e-06,75.74061825729841,-2937.0126368389865
7966,3.5395451875536583e-12,4.792862920467555e-06,75.7401037999503,-2941.0079641743346
7967,3.5553543924362935e-12,4.792862305748288e-06,75.73957916449287,-2945.02974399681
7968,3.5711094479834595e-12,4.7928616922880825e-06,75.73904419125921,-2949.078121856954
7969,3.586810421728508e-12,4.792861080084483e-06,75.73849871863631,-2953.153243808054
7970,3.602457381482784e-12,4.792860469135038e-06,75.73794258304731,-2957.255256405633
7971,3.618050395338633e-12,4.792859859437301e-06,75.73737561893383,-2961.3843067068924
7972,3.6335895316723286e-12,4.792859250988829e-06,75.73679765873801,-2965.5405422701883
7973,3.649074859147184e-12,4.7928586437871845e-06,75.73620853288467,-2969.7241111542767
7974,3.664506446716199e-12,4.7928580378299335e-06,75.73560806976316,-2973.9351619180084
7975,3.679884363625146e-12,4.792857433114646e-06,75.73499609570919,-2978.173843619512
7976,3.695208679415274e-12,4.792856829638898e-06,75.73437243498665,-2982.4403058157436
7977,3.710479463926149e-12,4.792856227400268e-06,75.73373690976916,-2986.7346985618433
7978,3.7256967872984635e-12,4.7928556263963395e-06,75.73308934012167,-2991.057172410486
7979,3.740860719976668e-12,4.7928550266247e-06,75.7324295439818,-2995.4078784113713
7980,3.755971332711664e-12,4.792854428082942e-06,75.73175733714122,-2999.7869681106145
7981,3.7710286965634915e-12,4.792853830768662e-06,75.73107253322686,-3004.194593550086
7982,3.786032882903939e-12,4.79285323467946e-06,75.73037494368205,-3008.630907266795
7983,3.800983963419028e-12,4.792852639812941e-06,75.72966437774747,-3013.096062292367
7984,3.815882010111625e-12,4.792852046166714e-06,75.7289406424421,-3017.5902121523263
7985,3.8307270953038914e-12,4.792851453738393e-06,75.72820354254402,-3022.113510865519
7986,3.845519291639725e-12,4.792850862525593e-06,75.72745288057111,-3026.6661129434897
7987,3.860258672087129e-12,4.792850272525938e-06,75.72668845676158,-3031.248173389905
7988,3.874945309940611e-12,4.792849683737053e-06,75.72591006905454,-3035.859847699875
7989,3.889579278823465e-12,4.792849096156568e-06,75.7251175130703,-3040.5012918593784
7990,3.9041606526900424e-12,4.792848509782117e-06,75.72431058209072,-3045.1726623446334
7991,3.9186895058279485e-12,4.7928479246113374e-06,75.72348906703927,-3049.8741161215244
7992,3.933165912860307e-12,4.7928473406418725e-06,75.72265275646114,-3054.605810644868
7993,3.947589948747821e-12,4.7928467578713675e-06,75.72180143650324,-3059.3679038578953
7994,3.9619616887907875e-12,4.792846176297474e-06,75.7209348908939,-3064.160554191737
7995,3.976281208631312e-12,4.792845595917845e-06,75.72005290092271,-3068.9839205645844
7996,3.990548584255146e-12,4.7928450167301415e-06,75.71915524542008,-3073.83816238129
7997,4.004763891993768e-12,4.792844438732024e-06,75.71824170073681,-3078.7234395325836
7998,4.01892720852613e-12,4.792843861921161e-06,75.71731204072339,-3083.6399123946844
7999,4.033038610880635e-12,4.792843286295221e-06,75.71636603670933,-3088.587741828523
8000,4.047098176436833e-12,4.792842711851881e-06,75.71540345748237,-3093.567089179309
8001,4.0611059829272615e-12,4.792842138588818e-06,75.71442406926745,-3098.578116275813
8002,4.075062108438997e-12,4.7928415665037156e-06,75.71342763570571,-3103.62098543001
8003,4.088966631415525e-12,4.79284099559426e-06,75.71241391783335,-3108.695859436193
8004,4.1028196306581875e-12,4.792840425858142e-06,75.71138267406027,-3113.8029015706265
8005,4.116621185327706e-12,4.792839857293057e-06,75.71033366014873,-3118.9422755910314
8006,4.130371374945776e-12,4.792839289896702e-06,75.7092666291918,-3124.114145735895
8007,4.144070279396444e-12,4.792838723666781e-06,75.70818133159175,-3129.31867672403
8008,4.15771797892756e-12,4.792838158600999e-06,75.70707751503829,-3134.5560337539596
8009,4.171314554152009e-12,4.792837594697068e-06,75.7059549244867,-3139.826382503555
8010,4.184860086049137e-12,4.7928370319527014e-06,75.70481330213588,-3145.1298891293145
8011,4.198354655965882e-12,4.792836470365617e-06,75.70365238740618,-3150.46672026602
8012,4.211798345617968e-12,4.792835909933537e-06,75.70247191691723,-3155.8370430262207
8013,4.225191237091056e-12,4.792835350654187e-06,75.70127162446558,-3161.2410249997256
8014,4.238533412841786e-12,4.792834792525297e-06,75.70005124100221,-3166.6788342531686
8015,4.251824955698777e-12,4.7928342355446005e-06,75.69881049460996,-3172.1506393295895
8016,4.26506594886369e-12,4.792833679709836e-06,75.69754911048084,-3177.656609247825
8017,4.278256475912031e-12,4.792833125018742e-06,75.69626681089315,-3183.196913502245
8018,4.291396620794025e-12,4.792832571469066e-06,75.69496331518855,-3188.7717220623
8019,4.304486467835432e-12,4.7928320190585565e-06,75.69363833974894,-3194.3812053720835
8020,4.317526101738268e-12,4.792831467784965e-06,75.6922915979733,-3200.0255343499753
8021,4.330515607581432e-12,4.7928309176460484e-06,75.69092280025424,-3205.704880388367
8022,4.343455070821432e-12,4.792830368639567e-06,75.68953165395465,-3211.4194153531303
8023,4.356344577292902e-12,4.792829820763284e-06,75.68811786338402,-3217.1693115833687
8024,4.3691842132090955e-12,4.792829274014967e-06,75.68668112977475,-3222.9547418911243
8025,4.38197406516241e-12,4.792828728392389e-06,75.68522115125828,-3228.7758795609543
8026,4.394714220124727e-12,4.792828183893324e-06,75.68373762284106,-3234.6328983497356
8027,4.4074047654477824e-12,4.79282764051555e-06,75.68223023638049,-3240.5259724863467
8028,4.420045788863434e-12,4.792827098256852e-06,75.6806986805606,-3246.4552766714373
8029,4.432637378483877e-12,4.792826557115014e-06,75.67914264086762,-3252.4209860772153
8030,4.44517962280184e-12,4.792826017087827e-06,75.67756179956555,-3258.4232763471796
8031,4.457672610690682e-12,4.792825478173084e-06,75.67595583567139,-3264.4623235959443
8032,4.470116431404436e-12,4.7928249403685825e-06,75.67432442493033,-3270.538304409083
8033,4.48251117457779e-12,4.792824403672124e-06,75.67266723979084,-3276.651395842993
8034,4.494856930226096e-12,4.792823868081512e-06,75.67098394937958,-3282.8017754246257
8035,4.507153788745199e-12,4.792823333594556e-06,75.66927421947611,-3288.989621151466
8036,4.519401840911208e-12,4.792822800209067e-06,75.66753771248752,-3295.215111491536
8037,4.531601177880371e-12,4.792822267922861e-06,75.66577408742295,-3301.4784253831067
8038,4.543751891188688e-12,4.792821736733757e-06,75.66398299986784,-3307.779742234822
8039,4.555854072751633e-12,4.792821206639578e-06,75.6621641019582,-3314.1192419255317
8040,4.567907814863656e-12,4.792820677638149e-06,75.6603170423545,-3320.49710480446
8041,4.579913210197747e-12,4.792820149727302e-06,75.65844146621568,-3326.9135116911652
8042,4.591870351804977e-12,4.792819622904869e-06,75.6565370151728,-3333.368643875434
8043,4.603779333113833e-12,4.792819097168687e-06,75.65460332730267,-3339.8626831175256
8044,4.61564024792957e-12,4.792818572516597e-06,75.65264003710116,-3346.395811648281
8045,4.62745319043358e-12,4.792818048946444e-06,75.6506467754566,-3352.9682121690867
8046,4.639218255182595e-12,4.792817526456075e-06,75.64862316962275,-3359.5800678521146
8047,4.6509355371079025e-12,4.792817005043342e-06,75.6465688431919,-3366.2315623404174
8048,4.662605131514395e-12,4.792816484706099e-06,75.64448341606746,-3372.922879748305
8049,4.6742271340797135e-12,4.792815965442204e-06,75.64236650443671,-3379.6542046614086
8050,4.6858016408532196e-12,4.79281544724952e-06,75.6402177207432,-3386.425722137025
8051,4.697328748254987e-12,4.792814930125911e-06,75.63803667365907,-3393.2376177043166
8052,4.708808553074664e-12,4.7928144140692476e-06,75.63582296805717,-3400.0900773647118
8053,4.7202411524703866e-12,4.792813899077401e-06,75.633576204983,-3406.983287592069
8054,4.731626643967457e-12,4.7928133851482475e-06,75.63129598162648,-3413.9174353333115
8055,4.742965125457221e-12,4.792812872279666e-06,75.62898189129365,-3420.8927080084654
8056,4.754256695195558e-12,4.79281236046954e-06,75.6266335233779,-3427.9092935115373
8057,4.765501451801686e-12,4.792811849715756e-06,75.62425046333152,-3434.967380210513
8058,4.776699494256618e-12,4.792811340016202e-06,75.62183229263655,-3442.067156948115
8059,4.787850921901708e-12,4.792810831368773e-06,75.6193785887758,-3449.2088130422217
8060,4.798955834437072e-12,4.7928103237713645e-06,75.61688892520348,-3456.3925382865054
